code,countryname_FR,countryname_UK,countryusers
ar,Argentine,Argentina,629532
au,Australie,Australia,1022965
cl,Chili,Chile,326757
hr,Croatie,Croatia,64223
fr,France,France,5973301
de,Allemagne,Germany,2549989
gr,Grèce,Greece,95693
hu,Hongrie,Hungary,102235
il,Israël,Israel,150549
it,Italie,Italy,4270717
md,Moldavie,Moldova,13583
pt,Portugal,Portugal,1123535
ro,Roumanie,Romania,228185
za,Afrique du Sud,South-Africa,269649
es,Espagne,Spain,2264396
ch,Suisse,Switzerland,1601799
us,États-Unis,United States,12273684
