vintage_name,vintage_rank,toplists_name,vintages.price_euros
Arzuaga Reserva Ribera del Duero 2018,1,Bestsellers in Córdoba,39.55
Pago de Carraovejas Tinto 2020,1,Bestsellers in Málaga,42.95
Tommasi Amarone della Valpolicella Classico 2018,1,Bestsellers in Salamanca,49.8
Buena Vista Chateau Buena Vista Cabernet Sauvignon Napa Valley 2018,1,Bestsellers in Utah,61.95
Masseto Toscana 2005,1,Vivino's 2016 Wine Style Awards: Central Italy Red,4697.5
Gaja Barbaresco 1997,1,Vivino's 2016 Wine Style Awards: Italian Barbaresco,597.5
Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2004,1,Vivino's 2016 Wine Style Awards: Italian Valpolicella Red,243.75
La Grange des Pères Vin de Pays de l'Hérault 2011,1,Vivino's 2016 Wine Style Awards: Languedoc-Roussillon White,683.75
Gaja Gaia & Rey Langhe 2006,1,Vivino's 2016 Wine Style Awards: Northern Italy White,472.5
Château Rayas Châteauneuf-du-Pape 2001,1,Vivino's 2016 Wine Style Awards: Southern Rhône Red,3395.0
Château Rayas Châteauneuf-du-Pape 2001,1,Vivino's 2017 Wine Style Awards: Southern Rhône Red,3395.0
Gaja Barbaresco 1998,1,Vivino's 2018 Wine Style Awards: Italian Barbaresco,470.0
Gaja Sperss Barolo 2004,1,Vivino's 2018 Wine Style Awards: Italian Nebbiolo,618.75
Château Rayas Châteauneuf-du-Pape 2005,1,Vivino's 2018 Wine Style Awards: Southern Rhône Châteauneuf-du-Pape Red,3181.25
Bodegas Tradición Palo Cortado Tradición Vors 30 Years Sherry,1,Vivino's 2018 Wine Style Awards: Spanish Sherry,99.95
Masseto Toscana 2004,1,Vivino's 2018 Wine Style Awards: Tuscan Red,4163.75
Trimbach Clos Sainte Hune Riesling Alsace 2012,1,Vivino's 2019 Wine Style Awards: Alsace Riesling,600.0
Charles Melton Nine Popes 2015,1,Vivino's 2019 Wine Style Awards: Australian Rhône Blend Red,114.6
Château Margaux Château Margaux (Premier Grand Cru Classé) 2010,1,Vivino's 2019 Wine Style Awards: Bordeaux Margaux,1077.51
Bonneau du Martray Corton-Charlemagne Grand Cru 2015,1,Vivino's 2019 Wine Style Awards: Burgundy Côte de Beaune White,811.25
Ornellaia Bolgheri Superiore 2005,1,Vivino's 2019 Wine Style Awards: Italian Bolgheri,425.0
Scarecrow Cabernet Sauvignon 2015,1,Vivino's 2019 Wine Style Awards: Napa Valley Cabernet Sauvignon,1558.75
Charles Melton Nine Popes 2015,1,Vivino's 2020 Wine Style Awards: Australian Rhône Blend Red,114.6
Château Ducru-Beaucaillou Saint-Julien (Grand Cru Classé) 2010,1,Vivino's 2020 Wine Style Awards: Bordeaux Saint-Julien,533.75
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1,Vivino's 2020 Wine Style Awards: French Champagne Vintage,2882.5
La Grange des Pères Vin de Pays de l'Hérault 2012,1,Vivino's 2020 Wine Style Awards: Languedoc-Roussillon Red,683.75
La Grange des Pères Vin de Pays de l'Hérault Blanc 2015,1,Vivino's 2020 Wine Style Awards: Languedoc-Roussillon White,961.25
Burmester Tordiz 40 Year Old Tawny Port,1,Vivino's 2020 Wine Style Awards: Portuguese Tawny Port,337.5
Château Rayas Châteauneuf-du-Pape 2006,1,Vivino's 2020 Wine Style Awards: Southern Rhône Châteauneuf-du-Pape Red,3308.75
Château des Tours Vacqueyras 2011,1,Vivino's 2020 Wine Style Awards: Southern Rhône Red,250.0
Masseto Toscana 2006,1,Vivino's 2020 Wine Style Awards: Tuscan Red,4910.0
Gitana Lupi Rezerva 2017,2,Bestsellers in Ireland,36.55
Château Pape Clément Pessac-Léognan (Grand Cru Classé de Graves) 2018,2,Bestsellers in New Mexico,121.95
Mascarello Giuseppe e Figlio Barolo Monprivato 2010,2,Vivino's 2016 Wine Style Awards: Italian Barolo,705.0
Ornellaia Bolgheri Superiore 2007,2,Vivino's 2016 Wine Style Awards: Italian Bolgheri,533.75
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2006,2,Vivino's 2017 Wine Style Awards: Italian Amarone,616.25
